prev_filename,filename,strType,xmin,ymin,xmax,ymax,labels,width,height,x_center,y_center,x_center_norm,y_center_norm,w_norm,h_norm
DJI_0370.JPG,200.jpg,tru_su,3656,1654,4011,2111,2,355,457,3833,1882,0.9450197238658776,0.8254385964912281,0.0875246548323471,0.200438596491228
DJI_0228.JPG,64.jpg,ong_noi,2532,1383,2708,1554,0,176,171,2620,1468,0.645956607495069,0.643859649122807,0.0433925049309664,0.075
DJI_0164.JPG,0.jpg,ong_noi,1617,1345,2124,1472,0,507,127,1870,1408,0.4610453648915187,0.6175438596491228,0.125,0.0557017543859649
DJI_0183.JPG,19.jpg,ong_noi,1866,319,2693,764,0,827,445,2279,541,0.5618836291913215,0.2372807017543859,0.2038954635108481,0.1951754385964912
DJI_0401.JPG,231.jpg,tru_su,1,918,481,1174,2,480,256,241,1046,0.0594181459566074,0.4587719298245614,0.1183431952662721,0.1122807017543859
DJI_0262.JPG,96.jpg,ong_noi,3281,984,3434,1054,0,153,70,3357,1019,0.8276627218934911,0.4469298245614035,0.0377218934911242,0.0307017543859649
DJI_0385.JPG,215.jpg,khoa_neo,3152,630,3378,911,1,226,281,3265,770,0.8049802761341223,0.337719298245614,0.0557199211045364,0.1232456140350877
DJI_0325.JPG,156.jpg,ong_noi,1902,1112,2978,1351,0,1076,239,2440,1231,0.6015779092702169,0.5399122807017543,0.2652859960552268,0.1048245614035087
DJI_0392.JPG,222.jpg,tru_su,1,791,1280,1666,2,1279,875,640,1228,0.1577909270216962,0.5385964912280702,0.3153353057199211,0.3837719298245614
DJI_0247.JPG,81.jpg,ong_noi,1845,763,2072,1114,0,227,351,1958,938,0.482741617357002,0.4114035087719298,0.0559664694280078,0.1539473684210526
DJI_0268.JPG,102.jpg,ong_noi,2052,1151,2565,1288,0,513,137,2308,1219,0.5690335305719921,0.5346491228070176,0.1264792899408284,0.0600877192982456
DJI_0395.JPG,225.jpg,tru_su,817,607,1215,1264,2,398,657,1016,935,0.2504930966469428,0.4100877192982456,0.0981262327416173,0.2881578947368421
DJI_0169.JPG,5.jpg,ong_noi,2468,922,2608,990,0,140,68,2538,956,0.6257396449704142,0.4192982456140351,0.034516765285996,0.0298245614035087
