prev_filename,filename,strType,xmin,ymin,xmax,ymax,labels,width,height,x_center,y_center,x_center_norm,y_center_norm,w_norm,h_norm
DJI_0164.JPG,0.jpg,ong_noi,1657,1346,2076,1466,0,419,120,1866,1406,0.46005917159763315,0.6166666666666667,0.10330374753451677,0.05263157894736842
DJI_0165.JPG,1.jpg,ong_noi,1748,1283,2460,1466,0,712,183,2104,1374,0.5187376725838264,0.6026315789473684,0.1755424063116371,0.08026315789473684
DJI_0166.JPG,2.jpg,ong_noi,1525,1226,2113,1326,0,588,100,1819,1276,0.4484714003944773,0.5596491228070175,0.14497041420118342,0.043859649122807015
DJI_0166.JPG,2.jpg,ong_noi,3542,1615,3682,1660,0,140,45,3612,1637,0.8905325443786982,0.7179824561403508,0.03451676528599606,0.019736842105263157
DJI_0167.JPG,3.jpg,ong_noi,1904,1484,2360,1679,0,456,195,2132,1581,0.5256410256410257,0.6934210526315789,0.11242603550295859,0.08552631578947369
DJI_0167.JPG,3.jpg,ong_noi,2709,1510,2824,1559,0,115,49,2766,1534,0.6819526627218935,0.6728070175438596,0.028353057199211044,0.02149122807017544
DJI_0168.JPG,4.jpg,ong_noi,1871,1110,2356,1299,0,485,189,2113,1204,0.520956607495069,0.5280701754385965,0.11957593688362919,0.08289473684210526
DJI_0168.JPG,4.jpg,ong_noi,3009,1772,3105,1843,0,96,71,3057,1807,0.753698224852071,0.7925438596491228,0.023668639053254437,0.031140350877192982
DJI_0169.JPG,5.jpg,ong_noi,1676,1042,2138,1252,0,462,210,1907,1147,0.47016765285996054,0.5030701754385964,0.11390532544378698,0.09210526315789473
DJI_0169.JPG,5.jpg,ong_noi,2820,1719,2905,1782,0,85,63,2862,1750,0.7056213017751479,0.7675438596491229,0.020956607495069033,0.02763157894736842
DJI_0169.JPG,5.jpg,ong_noi,2493,935,2588,977,0,95,42,2540,956,0.626232741617357,0.4192982456140351,0.02342209072978304,0.018421052631578946
DJI_0170.JPG,6.jpg,ong_noi,1471,1198,2004,1347,0,533,149,1737,1272,0.4282544378698225,0.5578947368421052,0.13141025641025642,0.06535087719298245
DJI_0170.JPG,6.jpg,ong_noi,3466,1144,3615,1187,0,149,43,3540,1165,0.8727810650887574,0.5109649122807017,0.03673570019723866,0.018859649122807017
DJI_0170.JPG,6.jpg,ong_noi,3676,2119,3840,2172,0,164,53,3758,2145,0.9265285996055227,0.9407894736842105,0.04043392504930966,0.02324561403508772
DJI_0171.JPG,7.jpg,ong_noi,1402,954,2198,1208,0,796,254,1800,1081,0.4437869822485207,0.47412280701754383,0.19625246548323472,0.11140350877192982
DJI_0171.JPG,7.jpg,ong_noi,3730,1140,3894,1181,0,164,41,3812,1160,0.9398422090729783,0.5087719298245614,0.04043392504930966,0.017982456140350878
DJI_0172.JPG,8.jpg,ong_noi,2042,816,2867,1057,0,825,241,2454,936,0.6050295857988166,0.4105263157894737,0.20340236686390534,0.10570175438596491
DJI_0172.JPG,8.jpg,ong_noi,3837,863,3973,909,0,136,46,3905,886,0.9627712031558185,0.38859649122807016,0.03353057199211045,0.02017543859649123
DJI_0173.JPG,9.jpg,ong_noi,1519,995,2351,1214,0,832,219,1935,1104,0.4770710059171598,0.4842105263157895,0.20512820512820512,0.09605263157894736
DJI_0174.JPG,10.jpg,ong_noi,1381,938,2273,1081,0,892,143,1827,1009,0.4504437869822485,0.4425438596491228,0.21992110453648916,0.06271929824561404
DJI_0175.JPG,11.jpg,ong_noi,1417,1118,2320,1244,0,903,126,1868,1181,0.46055226824457596,0.5179824561403509,0.22263313609467456,0.05526315789473684
